,date,USD,EUR,JPY,CAD,HKD,KRW,AUD,RUB,NZD,GBP,INR,CHF
0,2010-01-01,1.1844,1.0000,125.7161,1.5609,9.1792,1390.4351,1.6261,35.7576,1.7710,0.9246,87.0966,1.0764
1,2010-02-01,1.3913,1.0000,125.6000,1.4868,10.8066,1627.1000,1.5748,42.2510,1.9774,0.8748,64.5220,1.4725
2,2010-03-01,1.3525,1.0000,120.6700,1.4266,10.5007,1562.2400,1.5105,40.5471,1.9442,0.9067,62.4110,1.4644
3,2010-04-01,1.3468,1.0000,126.2800,1.3622,10.4604,1517.0400,1.4685,39.5985,1.9129,0.8849,60.2020,1.4179
4,2010-05-01,1.3245,1.0000,125.1090,1.3285,10.2651,1469.5594,1.4218,38.7526,1.8197,0.8617,58.7881,1.4271
5,2010-06-01,1.2155,1.0000,110.6500,1.2766,9.4720,1478.2900,1.4595,38.0290,1.8056,0.8347,57.3170,1.4183
6,2010-07-01,1.2328,1.0000,108.1400,1.3124,9.6059,1514.7100,1.4753,38.5810,1.8062,0.8222,57.4820,1.3178
7,2010-08-01,1.3086,1.0000,112.9974,1.3556,10.1599,1548.6807,1.4564,39.4489,1.8149,0.8385,60.7835,1.3611
8,2010-09-01,1.2800,1.0000,107.5400,1.3560,9.9542,1516.7300,1.4141,39.3572,1.8112,0.8310,59.9230,1.2967
9,2010-10-01,1.3726,1.0000,114.2600,1.4085,10.6511,1546.1000,1.4114,41.8000,1.8550,0.8676,61.0810,1.3423
10,2010-11-01,1.3926,1.0000,111.9400,1.4160,10.7957,1556.6600,1.4094,42.8993,1.8130,0.8668,61.8871,1.3756
11,2010-12-01,1.3115,1.0000,110.3700,1.3360,10.1864,1508.7800,1.3615,41.2445,1.7589,0.8393,59.4664,1.3178
12,2011-01-01,1.3250,1.0000,107.7665,1.3226,10.2697,1483.1849,1.3018,40.4839,1.7131,0.8559,59.3951,1.2415
13,2011-02-01,1.3755,1.0000,112.1900,1.3717,10.7180,1529.7700,1.3647,40.7470,1.7671,0.8536,62.9570,1.2954
14,2011-03-01,1.3825,1.0000,113.3900,1.3408,10.7668,1550.2500,1.3572,39.6750,1.8397,0.8494,62.1430,1.2849
15,2011-04-01,1.4141,1.0000,118.5600,1.3686,11.0020,1544.2700,1.3649,40.1500,1.8518,0.8815,62.9800,1.3059
16,2011-05-01,1.4817,1.0000,157.2794,1.9528,11.4838,1588.0209,2.0343,40.8038,2.2156,1.1568,108.9638,1.3466
17,2011-06-01,1.4408,1.0000,117.1100,1.3948,11.2057,1548.5000,1.3410,40.2340,1.7502,0.8770,64.6124,1.2182
18,2011-07-01,1.4488,1.0000,116.9200,1.3964,11.2750,1545.0600,1.3523,40.3909,1.7552,0.9050,64.5950,1.2267
19,2011-08-01,1.4415,1.0000,110.8400,1.3713,11.2310,1511.3900,1.3041,39.7390,1.6348,0.8796,63.5340,1.1270
20,2011-09-01,1.4285,1.0000,110.0800,1.3954,11.1209,1519.3100,1.3349,41.4130,1.6793,0.8812,65.8360,1.1417
21,2011-10-01,1.3615,1.0000,104.6542,1.4191,10.6079,1609.1548,1.3975,43.5339,1.7815,0.8726,66.7569,1.2263
22,2011-11-01,1.3627,1.0000,106.5800,1.3855,10.5920,1529.3300,1.3237,42.1400,1.7152,0.8552,67.1540,1.2174
23,2011-12-01,1.3492,1.0000,104.8400,1.3736,10.4868,1518.0100,1.3182,41.4650,1.7347,0.8591,69.3080,1.2264
24,2012-01-01,1.2867,1.0000,99.7484,1.3126,9.9996,1487.9865,1.2671,41.4682,1.6655,0.8335,68.4161,1.2100
25,2012-02-01,1.3175,1.0000,100.2900,1.3161,10.2176,1480.8000,1.2312,39.7920,1.5839,0.8312,64.7750,1.2048
26,2012-03-01,1.3312,1.0000,107.9500,1.3120,10.3245,1488.9000,1.2353,39.0330,1.5909,0.8349,65.5950,1.2052
27,2012-04-01,1.3343,1.0000,109.4931,1.3284,10.3656,1511.5289,1.2820,39.1319,1.6299,0.8334,67.8410,1.2043
28,2012-05-01,1.3211,1.0000,105.8267,1.2982,10.2533,1490.7508,1.2681,38.7018,1.6181,0.8128,69.5992,1.2015
29,2012-06-01,1.2322,1.0000,96.2500,1.2794,9.5629,1454.8900,1.2772,41.7546,1.6422,0.8050,68.5190,1.2008
30,2012-07-01,1.2427,1.0000,98.7471,1.2732,9.6338,1422.7711,1.2213,41.1556,1.5502,0.7956,69.4565,1.1865
31,2012-08-01,1.2298,1.0000,96.2000,1.2320,9.5359,1386.3400,1.1691,39.7770,1.5145,0.7875,68.2220,1.2013
32,2012-09-01,1.2557,1.0000,98.5399,1.2434,9.7353,1424.4060,1.2149,40.4489,1.5634,0.7919,69.8853,1.1958
33,2012-10-01,1.2877,1.0000,100.4200,1.2667,9.9850,1435.4900,1.2431,40.2230,1.5533,0.7983,67.4870,1.2095
34,2012-11-01,1.2975,1.0000,103.8200,1.2969,10.0557,1416.0700,1.2491,40.6714,1.5685,0.8032,69.6820,1.2072
35,2012-12-01,1.2986,1.0000,107.3857,1.2893,10.0679,1405.2052,1.2459,40.1627,1.5819,0.8093,70.8112,1.2022
36,2013-01-01,1.3261,1.0000,114.1828,1.3203,10.2803,1411.1263,1.2776,40.4263,1.6027,0.8202,72.4946,1.2133
37,2013-02-01,1.3644,1.0000,125.7800,1.3637,10.5847,1493.9400,1.3132,40.9094,1.6191,0.8617,72.5830,1.2351
38,2013-03-01,1.3000,1.0000,120.5300,1.3437,10.0829,1415.5600,1.2741,39.9750,1.5759,0.8647,71.3880,1.2245
39,2013-04-01,1.2894,1.0000,121.6270,1.0439,10.0165,1432.8968,1.2384,39.6251,1.5415,0.8470,69.9852,1.2225
40,2013-05-01,1.3081,1.0000,127.4423,1.3223,10.1415,1441.0520,1.2658,40.7412,1.5266,0.8449,70.6406,1.2247
41,2013-06-01,1.2985,1.0000,130.5303,1.3444,10.0819,1466.8315,1.3562,41.0999,1.6356,0.8541,73.4012,1.2404
42,2013-07-01,1.3037,1.0000,129.9900,1.3714,10.1108,1480.2000,1.4190,43.0606,1.6774,0.8562,77.6280,1.2340
43,2013-08-01,1.3236,1.0000,130.6900,1.3630,10.2656,1486.4100,1.4733,43.7150,1.6662,0.8692,80.0030,1.2317
44,2013-09-01,1.3256,1.0000,109.3737,1.2176,10.2772,1471.6324,1.2234,44.0124,1.7158,0.8819,87.1070,1.2693
45,2013-10-01,1.3554,1.0000,132.6000,1.3962,10.5113,1456.5100,1.4388,43.6540,1.6363,0.8345,84.8790,1.2253
46,2013-11-01,1.3505,1.0000,132.9000,1.4082,10.4700,1434.2700,1.4265,43.6018,1.6343,0.8464,83.3645,1.2310
47,2013-12-01,1.3592,1.0000,148.2651,1.5816,10.5370,1438.4884,1.3054,45.0209,1.6728,0.8408,84.9864,1.2132
48,2014-01-01,1.3763,1.0000,144.6794,1.4651,10.6695,1452.7240,1.5431,45.0820,1.6756,0.8328,84.9930,1.2249
49,2014-02-01,1.3597,1.0000,139.4016,1.5210,10.5619,1469.7176,1.5526,47.8248,1.6683,0.8267,84.9645,1.2285
50,2014-03-01,1.3662,1.0000,139.0025,1.5206,10.5919,1456.9440,1.5244,49.3597,1.6244,0.8164,84.8152,1.2117
51,2014-04-01,1.3790,1.0000,142.5300,1.5241,10.6971,1460.0400,1.4929,48.4420,1.5903,0.8292,82.6950,1.2178
52,2014-05-01,1.3861,1.0000,142.1789,1.5203,10.7455,1431.8919,1.4958,49.3992,1.6095,0.8236,83.7458,1.2209
53,2014-06-01,1.3617,1.0000,136.3708,1.4908,10.5563,1389.8699,1.4757,47.2066,1.6019,0.8206,80.1806,1.2333
54,2014-07-01,1.3688,1.0000,138.9800,1.4587,10.6083,1384.5500,1.4479,46.8950,1.5624,0.7981,82.2307,1.2138
55,2014-08-01,1.3395,1.0000,137.9200,1.4635,10.3811,1389.2400,1.4431,47.9648,1.5801,0.7961,82.0250,1.2163
56,2014-09-01,1.3133,1.0000,136.9700,1.4266,10.1783,1330.2000,1.4059,48.9815,1.5660,0.7903,79.5006,1.2072
57,2014-10-01,1.2603,1.0000,138.5300,1.4139,9.7838,1342.3900,1.4496,49.9202,1.6171,0.7782,77.7857,1.2072
58,2014-11-01,1.2585,1.0000,140.3389,1.4102,9.7569,1344.2597,1.4274,53.0228,1.6006,0.7873,77.2695,1.2075
59,2014-12-01,1.2469,1.0000,147.6200,1.4213,9.6691,1381.4000,1.4681,65.2758,1.5838,0.7927,77.3564,1.2028
60,2015-01-01,1.2165,1.0000,145.4805,1.4108,9.4314,1324.3838,1.4847,68.7535,1.5520,0.7812,76.9098,1.2040
61,2015-02-01,1.1337,1.0000,132.9775,1.4429,8.7895,1244.1082,1.4654,79.9784,1.5615,0.7521,69.8734,1.0528
62,2015-03-01,1.1349,1.0000,134.9121,1.4176,8.7988,1248.3767,1.4438,68.6564,1.5005,0.7380,70.1126,1.0724
63,2015-04-01,1.0755,1.0000,129.2900,1.3632,8.3382,1187.6700,1.4153,62.4363,1.4472,0.7285,67.2161,1.0426
64,2015-05-01,1.0994,1.0000,130.7185,1.3222,8.5235,1181.4831,1.3849,56.7230,1.4445,0.7114,70.0783,1.0295
65,2015-06-01,1.0944,1.0000,135.7900,1.3673,8.4871,1217.1300,1.4341,58.2567,1.5372,0.7192,69.7123,1.0331
66,2015-07-01,1.1100,1.0000,136.6300,1.3902,8.6053,1246.8700,1.4458,61.5175,1.6415,0.7090,70.6016,1.0457
67,2015-08-01,1.0962,1.0000,136.1905,1.4290,8.4980,1285.7060,1.5072,65.3186,1.6730,0.7040,70.3405,1.0563
68,2015-09-01,1.1236,1.0000,134.8700,1.4856,8.7079,1321.4800,1.5956,72.9868,1.7749,0.7328,74.5056,1.0825
69,2015-10-01,1.1153,1.0000,133.5600,1.4799,8.6436,1314.3600,1.5777,73.0745,1.7332,0.7367,73.0661,1.0903
70,2015-11-01,1.0962,1.0000,132.5641,1.4488,8.4953,1252.0125,1.5453,70.5438,1.6354,0.7182,71.5856,1.0849
71,2015-12-01,1.0600,1.0000,130.5700,1.4118,8.2180,1229.0000,1.4540,70.7140,1.5935,0.7036,70.5123,1.0908
72,2017-01-01,1.0454,1.0000,121.8786,1.4136,8.1080,1262.6632,1.4488,63.0151,1.5034,0.8530,71.1956,1.0705
73,2017-02-01,1.0790,1.0000,122.2500,1.4097,8.3720,1247.8600,1.4225,64.8674,1.4817,0.8542,72.7540,1.0680
74,2017-03-01,1.0533,1.0000,119.8400,1.4044,8.1773,1204.9300,1.3752,61.4190,1.4793,0.8555,70.3960,1.0647
75,2017-04-01,1.0739,1.0000,119.3522,1.4317,8.3463,1199.9714,1.3992,60.4598,1.5309,0.8629,69.7210,1.0693
76,2017-05-01,1.0909,1.0000,121.8479,1.4902,8.4863,1239.7670,1.4483,62.0917,1.5793,0.8446,70.1271,1.0853
77,2017-06-01,1.1219,1.0000,124.5300,1.5155,8.7419,1258.4000,1.5182,63.5329,1.5870,0.8723,72.3235,1.0883
